Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating
2024-05-24,18:20:44,CNR2151519,Success,383851,eBike,Banashankari,Vasanth Nagar,2.65,2.99,0,,0,,0,,266,6.11,4.2,4.5
2024-05-03,04:11:24,CNR9449619,Success,655083,Bike,Cooke Town,Whitefield,3.42,11.49,0,,0,,0,,436,33.25,4.4,3.9
2024-05-12,01:32:27,CNR6497333,Cancelled by Driver,999059,Prime Plus,Vasanth Nagar,Peenya,,,0,,1,Customer related issue,0,,,,,
2024-05-11,08:26:20,CNR3096510,Cancelled by Driver,328163,Prime Sedan,Mahadevapura,Brookefield,,,0,,1,Customer related issue,0,,,,,
2024-05-15,01:03:33,CNR2653642,Cancelled by Driver,804423,Mini,Frazer Town,Vidyaranyapura,,,0,,1,Customer related issue,0,,,,,
2024-05-22,06:21:40,CNR6793059,Success,262868,Prime Plus,Hebbal,Marathahalli,3.68,11.8,0,,0,,0,,185,37.88,3.6,3.7
2024-05-18,02:55:24,CNR9101790,Cancelled by Driver,697924,Prime Sedan,Varthur,Marathahalli,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-06,00:49:46,CNR2473033,Success,712166,Bike,Jalahalli,Kammanahalli,5.92,11.32,0,,0,,0,,125,2.37,4.9,3.8
2024-05-05,12:12:13,CNR1671307,Success,269788,Prime Sedan,Whitefield,Mahadevapura,2.99,8.07,0,,0,,0,,751,8.1,4.9,3.6
2024-05-08,09:44:22,CNR5999509,Success,452289,Prime Plus,Brookefield,Ulsoor,5.58,5.52,0,,0,,0,,670,32.92,4.8,4.8
2024-05-17,10:52:25,CNR8079765,Cancelled by Driver,160934,Mini,Banashankari,Yelahanka,,,0,,1,Customer related issue,0,,,,,
2024-05-26,11:45:46,CNR8458809,Success,638856,eBike,Gokula,MG Road,9.46,3.8,0,,0,,0,,117,11.83,3.6,4.1
2024-05-04,08:25:45,CNR8966080,Success,984122,Prime Sedan,Whitefield,Electronic City,9.21,14.24,0,,0,,0,,748,1.92,3.2,3.8
2024-05-19,23:08:46,CNR4331361,Cancelled by System,713158,Prime Plus,Basavanagudi,Cooke Town,,,0,,0,,0,,,,,
2024-05-12,11:35:01,CNR2985971,Cancelled by Driver,644459,Prime Sedan,Jayanagar,Marathahalli,,,0,,1,Customer related issue,0,,,,,
2024-05-26,04:43:15,CNR4628793,Success,922886,Bike,Cooke Town,RT Nagar,8.59,14.3,0,,0,,0,,924,42.31,4.9,3.5
2024-05-11,07:49:36,CNR6663491,Success,209565,Prime Sedan,Sadashivanagar,Vasanth Nagar,2.55,11.46,0,,0,,0,,562,4.9,3.5,3.9
2024-05-02,10:03:54,CNR3537795,Success,413884,eBike,Basavanagudi,CV Raman Nagar,4.77,6.14,0,,0,,0,,551,33.23,3.9,3.7
2024-05-20,00:36:54,CNR2483350,Success,876524,Bike,Bellandur,Koramangala,6.31,12.79,0,,0,,0,,228,30.17,4.3,4.8
2024-05-26,19:08:39,CNR8105984,Success,474517,eBike,Cooke Town,Sarjapur Road,1.9,6.88,0,,0,,0,,406,5.56,3.8,3.6
2024-05-26,09:37:33,CNR1120643,Success,435567,Prime Plus,New BEL Road,BTM Layout,4.41,3.77,0,,0,,0,,219,7.59,3.9,4.4
2024-05-31,22:30:05,CNR9183567,Cancelled by System,979341,Prime Plus,Banashankari,Commercial Street,,,0,,0,,0,,,,,
2024-05-06,02:28:10,CNR7268352,Cancelled by Driver,687128,Mini,Domlur,Sarjapur Road,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-03,00:30:06,CNR3712450,Success,294618,Bike,Sadashivanagar,Mathikere,9.24,6,0,,0,,0,,286,15.52,4.8,4.8
2024-05-05,18:08:36,CNR6841521,Success,835360,eBike,Banashankari,Mathikere,9.73,2.36,0,,0,,0,,852,18.05,3.2,3.8
2024-05-22,00:49:39,CNR7851745,Success,410877,Prime SUV,Old Airport Road,Mathikere,2.36,4.04,0,,0,,0,,883,41.95,4,4.1
2024-05-06,14:07:32,CNR6830409,Success,525471,Prime SUV,Gokula,Jayanagar,9.75,4.16,0,,0,,0,,320,39.73,3.3,4.1
2024-05-25,23:50:36,CNR5767691,Success,748691,Bike,Vidyaranyapura,Bellandur,7.93,7.02,0,,0,,0,,388,32.5,4,3.6
2024-05-21,05:27:56,CNR3107278,Incomplete,655287,Bike,Vasanth Nagar,Sadashivanagar,1.26,12.49,0,,0,,1,Other Issue,71,39.12,4.7,4.1
2024-05-18,23:29:25,CNR4768246,Success,587017,Prime SUV,New BEL Road,Indiranagar,8.14,7.96,0,,0,,0,,279,34.46,3.9,4.9
2024-05-19,15:02:49,CNR5479170,Incomplete,109691,Bike,Kammanahalli,Yeshwanthpur,9.01,11.67,0,,0,,1,Other Issue,157,38.99,3,3.7
2024-05-05,21:21:32,CNR2404915,Success,146525,Mini,Bannerghatta Road,HSR Layout,2.27,5.55,0,,0,,0,,236,14.07,4.8,4.2
2024-05-03,20:44:57,CNR8792913,Cancelled by System,933379,Prime SUV,Mahadevapura,RT Nagar,,,0,,0,,0,,,,,
2024-05-03,18:58:08,CNR9835353,Cancelled by Driver,488402,Auto,Peenya,Bennigana Halli,,,0,,1,Customer related issue,0,,,,,
2024-05-30,21:35:47,CNR1651600,Cancelled by Customer,280446,eBike,BTM Layout,Banashankari,,,1,Wrong Address,0,,0,,,,,
2024-05-24,18:10:39,CNR8800538,Cancelled by Customer,130448,Mini,Rajajinagar,Sahakara Nagar,,,1,Driver asked to cancel,0,,0,,,,,
2024-05-19,07:04:45,CNR2492725,Success,708585,Bike,Langford Town,Brigade Road,4.59,14.38,0,,0,,0,,384,13.16,3.8,3.7
2024-05-13,08:30:50,CNR6740515,Cancelled by Customer,323609,Prime SUV,Hebbal,Cooke Town,,,1,Change of plans,0,,0,,,,,
2024-05-10,22:20:17,CNR3241080,Incomplete,807957,Auto,JP Nagar,Yelahanka,3.72,9.61,0,,0,,1,Vehicle Breakdown,758,23.45,3.8,4
2024-05-23,06:56:05,CNR8653745,Success,793901,eBike,Old Airport Road,CV Raman Nagar,1.59,7.18,0,,0,,0,,774,34.85,3.6,4.1
2024-05-11,02:35:07,CNR6048839,Success,893589,Bike,New BEL Road,Kalyan Nagar,9.09,10.5,0,,0,,0,,296,29.09,4.8,3.6
2024-05-04,06:22:15,CNR8491326,Cancelled by Driver,892676,Prime Sedan,Sahakara Nagar,Bannerghatta Road,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-09,18:46:12,CNR7485838,Success,916621,Mini,Mathikere,Commercial Street,6.53,9.67,0,,0,,0,,686,14.41,3.7,3.9
2024-05-29,14:44:01,CNR2930222,Success,142489,Mini,Old Airport Road,HSR Layout,3.17,12.24,0,,0,,0,,493,26.81,4.1,3.6
2024-05-03,19:16:10,CNR8665141,Cancelled by Driver,409525,Bike,BTM Layout,Sadashivanagar,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-08,09:55:02,CNR6817282,Success,720109,Prime Sedan,Mahadevapura,Bannerghatta Road,9.25,13.96,0,,0,,0,,123,18.65,3,4.3
2024-05-10,18:43:37,CNR4082111,Success,701705,Auto,Jalahalli,Cooke Town,7.95,8.21,0,,0,,0,,721,20.83,4.7,3.6
2024-05-03,03:14:14,CNR5371768,Success,476713,Prime Plus,Whitefield,Frazer Town,7.41,8.29,0,,0,,0,,248,16.89,4.5,3.5
2024-05-25,10:02:45,CNR1000906,Cancelled by Driver,897192,Prime SUV,Sahakara Nagar,Bannerghatta Road,,,0,,1,More than permitted people in there,0,,,,,
2024-05-19,14:05:34,CNR6124752,Success,926510,Prime Sedan,Domlur,Kalyan Nagar,8.2,9.66,0,,0,,0,,1161,34.14,3.9,3.7
2024-05-03,23:57:36,CNR1617845,Success,508850,Mini,Banashankari,Vasanth Nagar,4.15,14.64,0,,0,,0,,146,41.11,3.1,4.8
2024-05-20,09:42:20,CNR4487084,Success,778895,Bike,New BEL Road,Vidyaranyapura,7.13,2.24,0,,0,,0,,369,8.63,3.1,4.1
2024-05-19,21:47:54,CNR9419106,Success,926792,Prime SUV,Koramangala,New BEL Road,2.43,14.48,0,,0,,0,,1040,38.27,3.5,4
2024-05-02,10:24:47,CNR4167750,Cancelled by System,308857,Prime SUV,Yeshwanthpur,Ulsoor,,,0,,0,,0,,,,,
2024-05-30,02:51:37,CNR9732196,Success,336498,Auto,Sahakara Nagar,JP Nagar,1.85,14.58,0,,0,,0,,154,41.82,3,4
2024-05-05,02:28:34,CNR9656433,Success,564156,Prime SUV,Bellandur,Kalyan Nagar,4.35,14.63,0,,0,,0,,304,10.13,3.5,4.3
2024-05-15,13:45:35,CNR6307060,Success,315884,eBike,Sanjay Nagar,Whitefield,4.5,13.52,0,,0,,0,,746,38.48,4.2,3.6
2024-05-04,18:24:18,CNR3463870,Cancelled by Driver,624073,Bike,Vijayanagar,Sadashivanagar,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-28,17:39:26,CNR6552569,Success,953104,Bike,Commercial Street,Vijayanagar,8.32,4.55,0,,0,,0,,339,43.48,3.8,3.7
2024-05-05,02:23:13,CNR9027038,Success,187712,Prime Plus,Vasanth Nagar,Sanjay Nagar,5.13,12.48,0,,0,,0,,274,25.81,4.3,3.6
2024-05-31,20:26:44,CNR2927633,Cancelled by Driver,619715,Prime Sedan,Malleshwaram,Brookefield,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-31,09:06:14,CNR8733801,Success,478881,Prime SUV,Banashankari,Basavanagudi,9.48,11.37,0,,0,,0,,319,30.62,4.6,4.7
2024-05-29,22:45:41,CNR6370387,Cancelled by Driver,760664,Auto,CV Raman Nagar,Kammanahalli,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-24,10:01:34,CNR4308891,Cancelled by Customer,645773,Bike,Banashankari,Frazer Town,,,1,Wrong Address,0,,0,,,,,
2024-05-25,05:22:22,CNR2060022,Success,950952,Prime Sedan,Indiranagar,Rajajinagar,6.22,10.64,0,,0,,0,,402,1.98,4.8,3.8
2024-05-12,21:58:51,CNR2637504,Cancelled by Driver,839881,Prime SUV,Commercial Street,Electronic City,,,0,,1,More than permitted people in there,0,,,,,
2024-05-01,05:55:40,CNR3665741,Success,943598,eBike,Sadashivanagar,RT Nagar,8.71,7.07,0,,0,,0,,403,17.79,3.7,4.5
2024-05-12,08:13:43,CNR4098669,Success,589499,Mini,Mahadevapura,HSR Layout,5.2,5.14,0,,0,,0,,145,15.35,4.4,4
2024-05-24,02:37:56,CNR6559753,Cancelled by Customer,466284,Prime SUV,Vijayanagar,Yeshwanthpur,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2024-05-22,08:03:52,CNR7771483,Success,227595,Bike,Basavanagudi,Old Airport Road,2.77,12.98,0,,0,,0,,147,34.8,3,4.9
2024-05-05,07:57:26,CNR6537476,Cancelled by Driver,112229,eBike,Brookefield,MG Road,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-26,23:14:05,CNR5421081,Success,934790,Prime SUV,Bennigana Halli,Sahakara Nagar,7.29,8.77,0,,0,,0,,525,29.9,4.7,4
2024-05-21,03:53:41,CNR2376633,Success,787232,Prime Sedan,Mathikere,Brookefield,6.06,12.77,0,,0,,0,,613,15.94,3.5,4.5
2024-05-10,14:47:38,CNR7211400,Success,332221,Prime SUV,Rajajinagar,Vasanth Nagar,1.14,8.52,0,,0,,0,,857,43.7,3.2,3.6
2024-05-30,19:47:12,CNR3723983,Success,888295,Prime Plus,HSR Layout,MG Road,4.16,7.93,0,,0,,0,,493,31.61,4.7,3.6
2024-05-26,12:16:58,CNR3468990,Cancelled by System,943374,Prime SUV,New BEL Road,Banashankari,,,0,,0,,0,,,,,
2024-05-18,22:34:52,CNR4570916,Cancelled by Customer,191464,Auto,Brigade Road,Yelahanka,,,1,Driver asked to cancel,0,,0,,,,,
2024-05-18,13:53:20,CNR9925393,Incomplete,181001,Bike,Whitefield,Kalyan Nagar,3.7,11.47,0,,0,,1,Vehicle Breakdown,3199,22.35,3,3.8
2024-05-15,07:16:29,CNR6210700,Cancelled by Driver,104390,eBike,Electronic City,Commercial Street,,,0,,1,Customer related issue,0,,,,,
2024-05-18,03:21:13,CNR2375185,Success,547450,Prime Plus,Hoodi,Mathikere,5.41,14.76,0,,0,,0,,1152,25.61,4,3.6
2024-05-24,11:08:22,CNR7572299,Incomplete,386342,Bike,Indiranagar,RT Nagar,7.76,11.98,0,,0,,1,Customer Demand,51,42.92,4.9,4.7
2024-05-05,02:04:58,CNR6318841,Cancelled by System,863096,Mini,Yelahanka,JP Nagar,,,0,,0,,0,,,,,
2024-05-20,02:18:47,CNR6901825,Cancelled by Driver,980513,Prime SUV,Yelahanka,Hoodi,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-28,22:49:45,CNR7436049,Success,167527,Prime Plus,Sarjapur Road,Koramangala,2.5,11.37,0,,0,,0,,294,2.79,3.9,4.4
2024-05-12,16:59:53,CNR1770716,Success,142472,Prime Sedan,Peenya,Hebbal,6.24,6.41,0,,0,,0,,543,43.76,3.1,5
2024-05-18,08:50:50,CNR2332492,Success,197871,Prime Sedan,Old Airport Road,Sanjay Nagar,6.69,4.46,0,,0,,0,,580,34.95,3.4,4.7
2024-05-22,20:50:25,CNR2249450,Success,862768,Auto,Frazer Town,Yeshwanthpur,8.05,2.59,0,,0,,0,,371,42.25,3.1,4.7
2024-05-19,17:42:40,CNR5189145,Success,611589,Prime Plus,JP Nagar,Cooke Town,9.33,11.38,0,,0,,0,,496,5.78,4.6,3.6
2024-05-25,22:38:03,CNR8566862,Success,198864,Auto,Kalyan Nagar,Brigade Road,5.42,4.14,0,,0,,0,,828,17.1,4,4.2
2024-05-27,18:21:55,CNR9443168,Incomplete,751212,eBike,Sahakara Nagar,JP Nagar,6.23,11.69,0,,0,,1,Customer Demand,338,6.99,4.3,3.9
2024-05-30,10:19:59,CNR7796194,Success,751320,Prime Plus,Commercial Street,Yelahanka,7.08,5.31,0,,0,,0,,923,5.02,4.5,4
2024-05-26,19:29:22,CNR6986738,Success,511638,Bike,Hoodi,Kalyan Nagar,1.43,4.86,0,,0,,0,,381,9.58,3.5,4.8
2024-05-28,10:12:18,CNR7200637,Success,964815,Prime SUV,Langford Town,Sahakara Nagar,5.47,5.47,0,,0,,0,,203,26.48,4,4.7
2024-05-17,21:53:28,CNR4164788,Success,299578,Prime SUV,Richmond Town,BTM Layout,9.66,5.66,0,,0,,0,,678,13.22,4.3,4.2
2024-05-16,17:35:53,CNR7499864,Success,103898,Mini,Sarjapur Road,Yeshwanthpur,1.96,14.72,0,,0,,0,,262,12.03,4.1,4
2024-05-10,15:00:30,CNR1376522,Cancelled by Customer,593218,Prime Sedan,Brookefield,Vasanth Nagar,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2024-05-03,05:39:10,CNR7144752,Success,917049,Prime Plus,Domlur,Rajajinagar,3.42,11.45,0,,0,,0,,836,30.47,4.8,3.9
2024-05-05,12:11:27,CNR4601947,Success,871563,Mini,RT Nagar,Hoodi,5.12,2.11,0,,0,,0,,148,40.74,4.7,4.9
2024-05-25,14:30:11,CNR2497797,Cancelled by Driver,402057,Auto,Vidyaranyapura,Whitefield,,,0,,1,Customer related issue,0,,,,,
2024-05-18,21:16:44,CNR8853568,Success,579199,Mini,Bennigana Halli,Vidyaranyapura,6.69,7.71,0,,0,,0,,267,12.78,4,4.6
2024-05-14,17:12:59,CNR1099118,Success,936877,Auto,Kalyan Nagar,Old Airport Road,2.35,6.17,0,,0,,0,,651,35.34,4,4.2
2024-05-19,02:32:41,CNR8690664,Success,238260,Prime SUV,RT Nagar,Kammanahalli,9.65,7.97,0,,0,,0,,594,15.76,4.2,4.2
2024-05-23,07:20:15,CNR6406892,Success,272784,Mini,Hebbal,Yeshwanthpur,3.04,9.99,0,,0,,0,,231,42.69,4.9,5
2024-05-04,06:31:19,CNR6238969,Cancelled by System,776661,Mini,Kalyan Nagar,JP Nagar,,,0,,0,,0,,,,,
2024-05-12,02:34:00,CNR1945798,Success,398659,Auto,Marathahalli,Domlur,4.8,7.65,0,,0,,0,,68,36.47,3,3.6
2024-05-01,08:29:02,CNR4689459,Success,550916,Auto,Langford Town,Malleshwaram,2.03,2.24,0,,0,,0,,246,35.86,4.8,4.3
2024-05-25,00:49:40,CNR6774551,Incomplete,178401,Prime Plus,Electronic City,Basavanagudi,4.4,6.18,0,,0,,1,Customer Demand,188,16.56,3,4.4
2024-05-06,23:50:44,CNR2636203,Success,669249,Bike,JP Nagar,Ulsoor,1.19,8.07,0,,0,,0,,443,16.11,3.1,3.8
2024-05-27,00:57:38,CNR5203221,Success,142451,Auto,Ulsoor,Bannerghatta Road,8.54,12.05,0,,0,,0,,961,38.68,4.6,4.2
2024-05-25,07:21:06,CNR6449963,Incomplete,236558,eBike,BTM Layout,Vidyaranyapura,5.9,12.33,0,,0,,1,Customer Demand,90,30.78,3,3.7
2024-05-26,00:27:41,CNR7166302,Incomplete,300606,Mini,Commercial Street,JP Nagar,2.34,9.43,0,,0,,1,Other Issue,282,38.91,4.8,3.9
2024-05-28,22:55:54,CNR5681648,Cancelled by System,518355,Prime SUV,Bannerghatta Road,New BEL Road,,,0,,0,,0,,,,,
2024-05-26,13:45:32,CNR5963477,Success,162117,Mini,Sarjapur Road,Yelahanka,8.22,2.64,0,,0,,0,,154,35.79,4.2,3.7
2024-05-20,17:50:23,CNR5776320,Cancelled by Driver,239122,Prime Plus,Gokula,Frazer Town,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-31,23:04:23,CNR6944978,Success,823763,Prime Sedan,Bellandur,Sanjay Nagar,3.37,3.11,0,,0,,0,,137,10.4,3.7,4.6
2024-05-15,07:40:16,CNR2230440,Incomplete,487893,Prime Sedan,Domlur,Yeshwanthpur,7.95,4.19,0,,0,,1,Customer Demand,370,14.07,4.5,4.3
2024-05-12,15:46:29,CNR3002570,Success,984253,Mini,New BEL Road,Yelahanka,5.06,9.98,0,,0,,0,,343,34.08,3.2,4.4
2024-05-19,13:25:50,CNR9296948,Success,967945,eBike,Jalahalli,Vasanth Nagar,2.79,2.17,0,,0,,0,,120,24.96,4.1,3.5
2024-05-19,22:40:49,CNR5874349,Success,472299,Prime Sedan,Rajajinagar,MG Road,3.05,4.65,0,,0,,0,,619,32.6,4.2,4.8
2024-05-18,08:07:59,CNR8366730,Success,254274,Auto,Brookefield,BTM Layout,9.79,14.84,0,,0,,0,,876,3.66,4.6,3.5
2024-05-18,22:14:55,CNR4470068,Success,249388,Prime SUV,Gokula,Yelahanka,4.32,3.7,0,,0,,0,,771,32.59,3.2,4.8
2024-05-30,08:41:52,CNR5154983,Cancelled by Driver,446518,Prime Plus,BTM Layout,Domlur,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-12,06:57:13,CNR5337928,Success,640992,eBike,Mahadevapura,Bannerghatta Road,4.27,4.02,0,,0,,0,,1098,34.28,4.9,3.8
2024-05-08,06:17:19,CNR8779347,Cancelled by System,678081,Prime Plus,Sadashivanagar,MG Road,,,0,,0,,0,,,,,
2024-05-12,16:58:47,CNR4232031,Cancelled by System,204318,Bike,Kadugodi,BTM Layout,,,0,,0,,0,,,,,
2024-05-27,20:06:33,CNR3900908,Success,337055,Mini,Bennigana Halli,Commercial Street,3.25,14.55,0,,0,,0,,121,44.47,4.4,4.5
2024-05-25,03:27:09,CNR1977708,Cancelled by Customer,800296,Auto,Langford Town,Indiranagar,,,1,Change of plans,0,,0,,,,,
2024-05-06,23:34:02,CNR3811347,Cancelled by Customer,274300,Prime Sedan,Hebbal,Sarjapur Road,,,1,Wrong Address,0,,0,,,,,
2024-05-05,23:18:27,CNR6983943,Success,566404,Prime Plus,Mahadevapura,Sarjapur Road,7.7,3.97,0,,0,,0,,1158,35.63,4.3,4.5
2024-05-29,02:36:53,CNR6819014,Cancelled by Driver,553142,Auto,Kadugodi,Bennigana Halli,,,0,,1,Customer related issue,0,,,,,
2024-05-14,01:11:40,CNR6910529,Success,550764,eBike,Sarjapur Road,Cooke Town,5.06,13.65,0,,0,,0,,244,17.45,4.8,3.8
2024-05-03,17:57:43,CNR4931840,Cancelled by Driver,551514,Bike,Vasanth Nagar,RT Nagar,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-02,03:25:45,CNR1416565,Success,451368,Prime SUV,Vidyaranyapura,CV Raman Nagar,3.7,11.3,0,,0,,0,,115,2.9,4.9,3.8
2024-05-22,20:57:26,CNR3766507,Success,363803,eBike,Richmond Town,Koramangala,4.29,4.37,0,,0,,0,,185,22.01,3.7,3.8
2024-05-17,23:09:40,CNR7805113,Cancelled by Driver,643536,Auto,Kalyan Nagar,Kammanahalli,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-01,07:43:06,CNR7626051,Success,685221,eBike,Mathikere,Peenya,2.68,7.46,0,,0,,0,,241,2.16,4.4,4.9
2024-05-26,21:07:03,CNR1061368,Incomplete,253798,Prime Plus,MG Road,Sanjay Nagar,1.28,7.54,0,,0,,1,Other Issue,294,15.39,4.2,4.6
2024-05-19,04:02:28,CNR4019369,Cancelled by System,448003,eBike,JP Nagar,Domlur,,,0,,0,,0,,,,,
2024-05-26,11:48:56,CNR4223757,Cancelled by System,288237,Prime SUV,Kadugodi,Commercial Street,,,0,,0,,0,,,,,
2024-05-03,15:17:52,CNR8704636,Success,944926,Prime Plus,Marathahalli,Richmond Town,2.81,14.35,0,,0,,0,,248,9.34,3.4,4.7
2024-05-20,11:27:46,CNR8039800,Success,476130,Bike,Gokula,Yeshwanthpur,2.93,14.98,0,,0,,0,,85,31.12,3.7,3.9
2024-05-29,14:42:02,CNR8791646,Cancelled by Driver,438773,Prime Plus,Bennigana Halli,Vidyaranyapura,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-27,18:29:18,CNR2093354,Cancelled by Driver,692201,Prime Plus,Sarjapur Road,Indiranagar,,,0,,1,More than permitted people in there,0,,,,,
2024-05-29,01:48:52,CNR3142456,Success,176540,eBike,Sanjay Nagar,Gokula,5.11,2.78,0,,0,,0,,253,21.45,4,4.8
2024-05-26,21:50:09,CNR2410550,Cancelled by Driver,988846,Prime Plus,Sadashivanagar,Old Airport Road,,,0,,1,Customer related issue,0,,,,,
2024-05-31,00:22:57,CNR4616050,Success,612990,Auto,Old Airport Road,Sadashivanagar,3.46,8.46,0,,0,,0,,387,29.51,4.2,3.9
2024-05-15,03:12:23,CNR5106433,Incomplete,743340,Prime Plus,Basavanagudi,Peenya,1.2,10.92,0,,0,,1,Other Issue,124,23.26,4.2,3.5
2024-05-19,11:59:41,CNR9128289,Success,329624,Prime SUV,Brookefield,Richmond Town,1.39,6.6,0,,0,,0,,357,6.42,4.7,3.6
2024-05-27,06:16:44,CNR7427422,Cancelled by System,172212,Prime Plus,MG Road,Rajajinagar,,,0,,0,,0,,,,,
2024-05-16,11:04:24,CNR7353704,Success,883929,Auto,Domlur,Vijayanagar,9.92,6.81,0,,0,,0,,897,18.41,4.5,3.6
2024-05-23,03:55:51,CNR3111389,Cancelled by Driver,423124,Auto,Commercial Street,Gokula,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-03,01:17:29,CNR1033255,Cancelled by System,628788,Prime SUV,Vasanth Nagar,Whitefield,,,0,,0,,0,,,,,
2024-05-05,09:45:06,CNR5834343,Success,928406,Prime Sedan,Banashankari,Bennigana Halli,6.51,4.9,0,,0,,0,,146,14.4,3.4,4
2024-05-13,02:19:49,CNR5381011,Cancelled by System,588090,Prime SUV,Frazer Town,MG Road,,,0,,0,,0,,,,,
2024-05-10,12:49:07,CNR5162991,Incomplete,600112,Bike,Indiranagar,Yelahanka,7.12,9.99,0,,0,,1,Other Issue,773,2.42,3.6,4.4
2024-05-22,17:22:10,CNR2471250,Success,574789,Prime Plus,Mathikere,Peenya,1.41,13.7,0,,0,,0,,190,13.65,3.5,4.9
2024-05-03,03:57:32,CNR1143040,Success,233035,Prime Sedan,HSR Layout,New BEL Road,9.67,10.12,0,,0,,0,,746,21.34,3,4.2
2024-05-13,00:49:22,CNR8945144,Cancelled by Customer,634001,Prime Plus,Bennigana Halli,Kadugodi,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2024-05-11,05:31:01,CNR3853468,Cancelled by Driver,676386,Mini,Brookefield,Kadugodi,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-16,05:04:05,CNR8323035,Cancelled by Driver,157355,Prime Sedan,Cooke Town,Marathahalli,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-31,18:11:18,CNR9374417,Success,899069,Mini,Varthur,Vijayanagar,2.29,8.04,0,,0,,0,,101,16.56,4,4.9
2024-05-04,07:03:32,CNR3909386,Cancelled by Driver,596157,Bike,Kalyan Nagar,Rajajinagar,,,0,,1,More than permitted people in there,0,,,,,
2024-05-28,05:12:08,CNR8037317,Success,934923,Bike,Jayanagar,Indiranagar,1.77,11.75,0,,0,,0,,239,28.22,3.6,4.3
2024-05-09,01:38:14,CNR5564071,Success,860451,Prime Plus,Mahadevapura,Langford Town,5.06,11.35,0,,0,,0,,425,2.8,3.9,4.5
2024-05-06,11:24:36,CNR4738400,Cancelled by Driver,391524,Auto,CV Raman Nagar,Jayanagar,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-20,16:54:26,CNR3982076,Success,730801,Auto,Bennigana Halli,Sarjapur Road,3.77,4.83,0,,0,,0,,68,31.55,4.2,4
2024-05-12,01:35:34,CNR7291554,Success,145919,Mini,Banashankari,Ulsoor,9.64,2.18,0,,0,,0,,145,37.41,3.4,3.7
2024-05-04,23:23:28,CNR8947974,Success,198801,Prime Plus,HSR Layout,Kadugodi,4.31,3.66,0,,0,,0,,787,23.41,3.3,4.8
2024-05-18,17:39:14,CNR1093503,Success,544200,Auto,Rajajinagar,MG Road,5.32,14.45,0,,0,,0,,72,27.18,4.6,4.4
2024-05-28,21:09:06,CNR8706599,Success,726688,Auto,Vidyaranyapura,Varthur,6.07,4.85,0,,0,,0,,79,32.02,3.4,3.7
2024-05-26,01:45:48,CNR9769229,Success,698256,Mini,Gokula,Old Airport Road,7.6,14.73,0,,0,,0,,147,44.44,3.9,4.6
2024-05-25,00:19:00,CNR9259628,Cancelled by Customer,216760,Prime SUV,Peenya,Banashankari,,,1,Driver asked to cancel,0,,0,,,,,
2024-05-10,09:39:54,CNR7797928,Success,711556,Prime Sedan,Marathahalli,Koramangala,8.02,5.2,0,,0,,0,,174,13.3,4.3,4.1
2024-05-27,18:53:44,CNR5209829,Success,241262,Prime Sedan,BTM Layout,Bannerghatta Road,3.04,14.05,0,,0,,0,,195,13.5,4.4,3.5
2024-05-06,09:29:38,CNR5330752,Success,622674,Mini,Sahakara Nagar,Marathahalli,9.39,3.59,0,,0,,0,,843,37.84,3.7,3.9
2024-05-12,05:56:13,CNR9691156,Success,371827,Prime Plus,JP Nagar,Bennigana Halli,2,14.4,0,,0,,0,,555,27.05,3.2,4.5
2024-05-06,12:50:31,CNR2691328,Success,966122,Prime SUV,Vijayanagar,Ulsoor,1.15,7.3,0,,0,,0,,293,9.9,3.4,4.9
2024-05-19,09:39:58,CNR1280970,Success,139439,Bike,Koramangala,Domlur,9.02,10.97,0,,0,,0,,429,40.98,3.5,3.7
2024-05-19,02:44:18,CNR8896591,Success,490460,Mini,Ulsoor,JP Nagar,9.69,7.2,0,,0,,0,,223,19.41,4.9,4.9
2024-05-05,23:40:17,CNR8293545,Success,305612,Auto,Basavanagudi,HSR Layout,5.13,13.3,0,,0,,0,,962,38.5,4.8,4.3
